location,primary_contact_source,contact_sources,population_source
South_Africa_Mpumalanga,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
South_Africa_North_West,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
South_Africa_Northern_Cape,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
South_Africa_Western_Cape,mistry_2021,mistry_2021,https://github.com/mobs-lab/mixing-patterns/tree/main/data/population_rescaled_age_distributions
South_Korea,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
South_Sudan,prem_2021,prem_2021,https://population.un.org/wpp/
Spain,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Sri_Lanka,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Sudan,prem_2021,prem_2021,https://population.un.org/wpp/
Suriname,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Sweden,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Switzerland,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
Syrian_Arab_Republic,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Taiwan,prem_2017,prem_2017,https://population.un.org/wpp/
Tajikistan,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Tanzania,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Thailand,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Timor-Leste,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Togo,prem_2021,prem_2021,https://population.un.org/wpp/
Tonga,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Trinidad_and_Tobago,prem_2021,prem_2021,https://population.un.org/wpp/
Tunisia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Turkey,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Turkmenistan,prem_2021,prem_2021,https://population.un.org/wpp/
Uganda,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Ukraine,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
United_Arab_Emirates,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
United_Kingdom,mistry_2021,mistry_2021|prem_2021|prem_2017,https://population.un.org/wpp/
United_States,mistry_2021,mistry_2021|prem_2021|prem_2017|litvinova_2025,https://api.census.gov/data/2023/pep/charv
United_States_Alabama,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Alaska,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Arizona,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Arkansas,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_California,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
